Inline Method	Translation	Positive	Negative	EmotionRationale
2493 commit 8dca9bdd82efade29ce38632234ef27e9cc7da9b merge: 6d182d9 10c34ec refs #100288 merge remote branch 'origin/100288-public-key-sync' * origin/100288-public-key-sync: documentation, fix copyright dates, code cleanup refs #100288 fix problems in link handling sync refs #100288 first stab at writing test for key set through link refs #100288 first attempt to handle links refs #100288 take into account recursive keys refs #100288 cleanup and fix to test refs #100288 logging improvement fix bugs in key sync in repo refs #100288 fix new test to ensure that key is flossed refs #100288 fix sync test to sync something that doesn't already have its key saved in the repo. refs #100288 don't need to search for keys recursively refs #100288 add more logging refs #100288 passes current tests refs #100288 do initial coding refs #100288 conflicts: javasrc/src/org/ccnx/ccn/profiles/repo/repositorycontrol.java 	2493 commit 8dca9bdd82efade29ce38632234ef27e9cc7da9b merge: 6d182d9 10c34ec refs #100288 merge remote branch 'origin/100288-public-key-sync' * origin/100288-public-key-sync: documentation, fix copyright dates, code cleanup refs #100288 fix problems in link handling sync refs #100288 first stab at writing test for key set through link refs #100288 first attempt to handle links refs #100288 take into account recursive keys refs #100288 cleanup and fix to test refs #100288 logging improvement fix bugs in key sync in repo refs #100288 fix new test to ensure that key is flossed refs #100288 fix sync test to sync something that doesn't already have its key saved in the repo.<br> refs #100288 don't need to search for keys recursively refs #100288 add more logging refs #100288 passes current tests refs #100288 do initial coding refs #100288 conflicts: javasrc/src/org/ccnx/ccn/profiles/repo/repositorycontrol.<br>java	2	-2	 2493[0] commit[0] 8dca9bdd82efade29ce38632234ef27e9cc7da9b[0] merge[0] 6d182d9[0] 10c34ec[0] refs[0] #100288[0] merge[0] remote[0] branch[0] 'origin/100288[0] public[0] key[0] sync'[0] origin/100288[0] public[0] key[0] sync[0] documentation[0] fix[0] copyright[0] dates[0] code[0] cleanup[0] refs[0] #100288[0] fix[0] problems[-1] in[0] link[0] handling[0] sync[0] refs[0] #100288[0] first[0] stab[-1] at[0] writing[0] test[0] for[0] key[0] set[0] through[0] link[0] refs[0] #100288[0] first[0] attempt[0] to[0] handle[0] links[0] refs[0] #100288[0] take[0] into[0] account[0] recursive[0] keys[0] refs[0] #100288[0] cleanup[0] and[0] fix[0] to[0] test[0] refs[0] #100288[0] logging[0] improvement[1] fix[0] bugs[0] in[0] key[0] sync[0] in[0] repo[0] refs[0] #100288[0] fix[0] new[0] test[0] to[0] ensure[0] that[0] key[0] is[0] flossed[0] refs[0] #100288[0] fix[0] sync[0] test[0] to[0] sync[0] something[0] that[0] doesn't[0] already[0] have[0] [[Sentence=-2,2=word max, 1-5]] refs[0] #100288[0] don't[0] need[0] to[0] search[0] for[0] keys[0] recursively[0] refs[0] #100288[0] add[0] more[0] logging[0] refs[0] #100288[0] passes[0] current[0] tests[0] refs[0] #100288[0] do[0] initial[0] coding[0] refs[0] #100288[0] conflicts[0] javasrc/src/org/ccnx/ccn/profiles/repo/repositorycontrol[0] [[Sentence=-1,1=word max, 1-5]] java[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
4138 commit 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3 merge: a76643a 682f39f merge branch 'withregistration' into outbound * withregistration: (52 commits) clean up a bit more long/long handling. move things that don't need to be longs to longs. remove some 'xxx - should verify signature' comments from ccnd - the signature has already been verified by then. add port to ccnd's human-friendly time messages, take out extra newline. fix problem with java app builds not reporting build failures correctly refactor java app makefiles so bulk of logic is in one place minor cleanups working version of rightsearch change that prescreens for excludes make lookup more efficient -- don't peek repeatedly. handle end element. belt and suspenders, in case we get back null. handle null results (e.g. from end elements) correct call. added acl to schema, removed placeholder acloperation tag. add acl to schema. move to new encoding algorithm. clean up enums. more encoder updating. move to new encoding model. clean up enums, move to new encoding model. move to new encoding model. ... 	4138 commit 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3 merge: a76643a 682f39f merge branch 'withregistration' into outbound * withregistration: (52 commits) clean up a bit more long/long handling.<br> move things that don't need to be longs to longs.<br> remove some 'x - should verify signature' comments from ccnd - the signature has already been verified by then.<br> add port to ccnd's human-friendly time messages, take out extra newline.<br> fix problem with java ap builds not reporting build failures correctly refactor java ap makefiles so bulk of logic is in one place minor cleanups working version of rightsearch change that prescreens for excludes make lookup more efficient - don't peek repeatedly.<br> handle end element.<br> belt and suspenders, in case we get back null.<br> handle null results (e.<br>grin�.<br> from end elements) correct call.<br> added acl to schema, removed placeholder acloperation tag.<br> add acl to schema.<br> move to new encoding algorithm.<br> clean up enums.<br> more encoder updating.<br> move to new encoding model.<br> clean up enums, move to new encoding model.<br> move to new encoding model.<br> .	2	-2	 4138[0] commit[0] 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3[0] merge[0] a76643a[0] 682f39f[0] merge[0] branch[0] 'withregistration'[0] into[0] outbound[0] withregistration[0] (52[0] commits[0] clean[0] up[0] a[0] bit[0] more[0] long/long[0] handling[0] [[Sentence=-1,1=word max, 1-5]] move[0] things[0] that[0] don't[0] need[0] to[0] be[0] longs[0] to[0] longs[0] [[Sentence=-1,1=word max, 1-5]] remove[0] some[0] 'xxx/'x[0] should[0] verify[0] signature'[0] comments[0] from[0] ccnd[0] the[0] signature[0] has[0] already[0] been[0] verified[0] by[0] then[0] [[Sentence=-1,1=word max, 1-5]] add[0] port[0] to[0] ccnd's[0] human[0] friendly[1] time[0] messages[0] take[0] out[0] extra[0] newline[0] [[Sentence=-1,2=word max, 1-5]] fix[0] problem[-1] with[0] java[0] app/ap[0] builds[0] not[0] reporting[0] build[0] failures[0] correctly[0] refactor[0] java[0] app/ap[0] makefiles[0] so[0] bulk[0] of[0] logic[0] is[0] in[0] one[0] place[0] minor[0] cleanups[0] working[0] version[0] of[0] rightsearch[0] change[0] that[0] prescreens[0] for[0] excludes[0] make[0] lookup[0] more[0] efficient[0] don't[0] peek[0] repeatedly[0] [[Sentence=-2,1=word max, 1-5]] handle[0] end[0] element[0] [[Sentence=-1,1=word max, 1-5]] belt[0] and[0] suspenders[0] in[0] case[0] we[0] get[0] back[0] null[0] [[Sentence=-1,1=word max, 1-5]] handle[0] null[0] results[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] from[0] end[0] elements[0] correct[0] call[0] [[Sentence=-1,1=word max, 1-5]] added[0] acl[0] to[0] schema[0] removed[0] placeholder[0] acloperation[0] tag[0] [[Sentence=-1,1=word max, 1-5]] add[0] acl[0] to[0] schema[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] algorithm[0] [[Sentence=-1,1=word max, 1-5]] clean[0] up[0] enums[0] [[Sentence=-1,1=word max, 1-5]] more[0] encoder[0] updating[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]] clean[0] up[0] enums[0] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
4207 commit 2135d29631c69371b2515162a3de9197ab773a72 refactor of encoder code. add direct use of binary tags. 	4207 commit 2135d29631c69371b2515162a3de9197ab773a72 refactor of encoder code.<br> add direct use of binary tags.	1	-1	 4207[0] commit[0] 2135d29631c69371b2515162a3de9197ab773a72[0] refactor[0] of[0] encoder[0] code[0] [[Sentence=-1,1=word max, 1-5]] add[0] direct[0] use[0] of[0] binary[0] tags[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4754 commit f799c17b696fecc6646ef9931e57dfef1f2816ed documentation and refactoring of groupmanagergui 	4754 commit f799c17b696fecc6646ef9931e57dfef1f2816ed documentation and refactoring of groupmanagergui	1	-1	 4754[0] commit[0] f799c17b696fecc6646ef9931e57dfef1f2816ed[0] documentation[0] and[0] refactoring[0] of[0] groupmanagergui[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4797 commit 8a9b98143d1787418ea6bdfab32ea7ed052f6d08 general code cleanup. removed code that was commented out 	4797 commit 8a9b98143d1787418ea6bdfab32ea7ed052f6d08 general code cleanup.<br> removed code that was commented out	1	-1	 4797[0] commit[0] 8a9b98143d1787418ea6bdfab32ea7ed052f6d08[0] general[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]] removed[0] code[0] that[0] was[0] commented[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6880 commit dcd03b73674200c23d494efae31e80158aa89ce4 restructure name handling for new version stuff, regenerate hashcode and equals. hopefully have namespace handling right, but not perfect yet. 	6880 commit dcd03b73674200c23d494efae31e80158a89ce4 restructure name handling for new version stuff, regenerate hashcode and equals.<br> hopefully have namespace handling right, but not perfect yet.	1	-2	 6880[0] commit[0] dcd03b73674200c23d494efae31e80158aa89ce4/dcd03b73674200c23d494efae31e80158a89ce4[0] restructure[0] name[0] handling[0] for[0] new[0] version[0] stuff[0] regenerate[0] hashcode[0] and[0] equals[0] [[Sentence=-1,1=word max, 1-5]] hopefully[0] have[0] namespace[0] handling[0] right[0] but[0] not[0] perfect[1][NegatedDueToPreviousWord] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
7171 commit 3c2674df97c391c9d47fb03ff6e3404641e44473 refactored, extended repobasetest, and changed string names to read from repobasetest 	7171 commit 3c2674df97c391c9d47fb03ff6e3404641e4473 refactored, extended repobasetest, and changed string names to read from repobasetest	1	-1	 7171[0] commit[0] 3c2674df97c391c9d47fb03ff6e3404641e44473/3c2674df97c391c9d47fb03ff6e3404641e4473[0] refactored[0] extended[0] repobasetest[0] and[0] changed[0] string[0] names[0] to[0] read[0] from[0] repobasetest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7477 commit 9b0ad5a502e58329524a4d66532f7ebedf99f0c0 refactor excludeelement to be a superclass of either bloomfilter or a new excludecomponent. significantly simplifies the exclude filter code. also remove use of bloomfilter when adding components to an excludefilter, since it will match more than it is supposed to. fix tests to match... 	7477 commit 9b0ad5a502e58329524a4d66532f7ebedf99f0c0 refactor excludeelement to be a superclass of either bloomfilter or a new excludecomponent.<br> significantly simplifies the exclude filter code.<br> also remove use of bloomfilter when adding components to an excludefilter, since it will match more than it is supposed to.<br> fix tests to match.	1	-2	 7477[0] commit[0] 9b0ad5a502e58329524a4d66532f7ebedf99f0c0[0] refactor[0] excludeelement[0] to[0] be[0] a[0] superclass[0] of[0] either[0] bloomfilter[0] or[0] a[0] new[0] excludecomponent[0] [[Sentence=-1,1=word max, 1-5]] significantly[0] simplifies[0] the[0] exclude[-1] filter[0] code[0] [[Sentence=-2,1=word max, 1-5]] also[0] remove[0] use[0] of[0] bloomfilter[0] when[0] adding[0] components[0] to[0] an[0] excludefilter[0] since[0] it[0] will[0] match[0] more[0] than[0] it[0] is[0] supposed[0] to[0] [[Sentence=-1,1=word max, 1-5]] fix[0] tests[0] to[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
